data;vxewz
1-abr-15;35.92
31-mar-15;35
30-mar-15;36.16
27-mar-15;36.93
26-mar-15;38.52
25-mar-15;38.51
24-mar-15;37.23
23-mar-15;37.1
20-mar-15;37.08
19-mar-15;38.84
18-mar-15;38.89
17-mar-15;39.41
16-mar-15;40.3
13-mar-15;40.17
12-mar-15;37.59
11-mar-15;38.28
10-mar-15;39.09
9-mar-15;38.13
6-mar-15;36.19
5-mar-15;35.04
4-mar-15;35.42
3-mar-15;34.15
2-mar-15;34.32
27-fev-15;32.7
26-fev-15;33.61
25-fev-15;33.69
24-fev-15;33.52
23-fev-15;34.54
20-fev-15;34.56
